file,duration,spectral_centroid,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
audio_samples/sample_0.wav,4.464,2340.7483013886545,0.10747767857142858,-331.07275,94.90565,-1.3674619,2.9683063,-6.721564,-7.5300374,-2.6260605,-6.229975,-12.191249,-7.518549,-10.889469,-1.8814802,-10.985921
audio_samples/sample_1.wav,4.44,2277.1541266886984,0.10991467927631579,-330.6885,103.540146,-11.106408,-4.2473426,-10.361516,-5.021238,0.34337124,-10.386699,-10.914341,-3.2715816,-11.365461,-1.5748389,-11.615204
audio_samples/sample_2.wav,4.752,2074.164486758838,0.09529804862668162,-333.901,110.351685,-8.269062,-4.446684,-4.8264303,-5.7465262,-1.961971,-10.470728,-11.743409,-6.765351,-13.519356,-0.85083294,-10.283871
audio_samples/sample_3.wav,4.728,2004.6231280373215,0.09129319749436937,-319.8471,116.860535,-8.914258,-9.039326,-14.716869,-6.7929587,0.53433996,-10.269217,-12.708996,-5.700858,-13.382468,-2.805364,-10.373558
audio_samples/sample_4.wav,4.968,2083.8248451376276,0.10014585568669528,-328.98975,106.996544,-5.6889944,-4.6786466,-3.0810404,-5.738878,-2.9179919,-10.000371,-11.940041,-7.703565,-12.758286,-0.6092415,-8.9883375
audio_samples/sample_5.wav,9.456,2544.0212700099833,0.13547605222409909,-308.565,92.64149,-1.5986933,0.96604216,2.9978797,-5.6452208,-7.610708,-12.08171,-12.519498,-4.8886466,-14.050308,-1.2142471,-7.5581965
audio_samples/sample_6.wav,9.384,2387.4135773984726,0.12451393821022727,-326.38852,95.95564,0.45034403,5.6232567,4.4802327,-7.531976,-8.081216,-10.552339,-13.272184,-7.7232947,-14.776315,-0.009415991,-7.4761386
audio_samples/sample_7.wav,9.288,2687.7101889006776,0.14947117796731652,-326.72513,83.67496,2.954954,8.071089,2.8798616,-7.025425,-10.487618,-9.8741665,-9.012662,-7.9944644,-14.167,2.0027685,-8.937217
audio_samples/sample_8.wav,9.84,2564.8227255193697,0.12703450520833334,-326.70218,88.937416,4.4511867,2.8545258,1.6717598,-6.6621213,-7.47667,-9.412497,-13.264132,-7.5121226,-14.447322,-0.726396,-6.8715463
audio_samples/sample_9.wav,9.648,2436.624502971619,0.12024976717715231,-314.3545,91.74005,-1.6457077,4.1690187,0.3328461,-6.526734,-6.862343,-11.532947,-11.866559,-6.1923137,-14.706529,-0.49445018,-6.342032
audio_samples/sample_10.wav,2.784,1946.2921126682338,0.07809145395992366,-346.13907,99.800095,-6.241172,1.2152883,-6.3018622,-3.8159184,-3.2878046,-12.839894,-10.398124,-4.209203,-10.904306,1.5552015,-6.4715724
audio_samples/sample_11.wav,3.288,2253.4408144787467,0.11042716733870968,-340.45792,92.095024,-3.3341222,3.3743322,-1.7370675,-2.9806762,-7.2264524,-10.875449,-9.825487,-5.0865216,-10.318742,2.978853,-6.0326567
audio_samples/sample_12.wav,3.672,2145.660737081878,0.0864229588150289,-342.23154,98.71423,-13.35786,-0.54783744,-5.900709,-6.5676403,-2.2633886,-9.712655,-9.745511,-7.260686,-9.471654,1.854569,-8.397845
audio_samples/sample_13.wav,3.744,2565.1096959804217,0.11329789595170454,-335.54184,82.17066,-0.89867073,6.2140193,-0.14924292,-6.038674,-10.302464,-10.077151,-9.032898,-5.6541934,-12.756955,4.2548223,-6.747954
